Program Name,Campus,Duration (years)
Bachelor + Master of Management Dual Degree,Okanagan,4.5
Bachelor + Master of Management Dual Degree,Vancouver,4.5
Bioeconomy Sciences and Technology,Vancouver,4
Business and Computer Science,Vancouver,4
Business and Markets,Vancouver,4
Combined Majors in Statistics,Vancouver,4
Commerce,Vancouver,4
Data Analytics,Vancouver,4
Economics,Vancouver,4
Economics (BA),Okanagan,4
Economics (BSc),Okanagan,4
Forest Operations,Vancouver,4
General Studies,Okanagan,4
Interdisciplinary Studies,Vancouver,4
International Economics,Vancouver,4
Management,Okanagan,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Mathematics and Economics,Vancouver,4
"Philosophy, Politics, and Economics",Okanagan,4
Wood Products,Vancouver,4
Bachelor + Master of Management Dual Degree,Okanagan,4.5
Bachelor + Master of Management Dual Degree,Vancouver,4.5
Bioeconomy Sciences and Technology,Vancouver,4
Business and Computer Science,Vancouver,4
Business and Markets,Vancouver,4
Combined Majors in Statistics,Vancouver,4
Commerce,Vancouver,4
Data Analytics,Vancouver,4
Economics,Vancouver,4
Economics (BA),Okanagan,4
Economics (BSc),Okanagan,4
Forest Operations,Vancouver,4
General Studies,Okanagan,4
Interdisciplinary Studies,Vancouver,4
International Economics,Vancouver,4
Management,Okanagan,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Mathematics and Economics,Vancouver,4
"Philosophy, Politics, and Economics",Okanagan,4
Wood Products,Vancouver,4
Archaeology,Vancouver,4
"Architecture, Landscape Architecture, and Urbanism",Vancouver,4
Atmospheric Science,Vancouver,4
Bioeconomy Sciences and Technology,Vancouver,4
Business and Markets,Vancouver,4
Combined Major in Science,Vancouver,4
Conservation,Vancouver,4
Data Analytics,Vancouver,4
Earth and Environmental Sciences,Okanagan,4
Earth and Ocean Sciences,Vancouver,4
"Ecology, Evolution, and Conservation Biology",Okanagan,4
Environmental Chemistry,Okanagan,4
Environmental Engineering,Vancouver,4
Environmental Engineering (joint UNBC/UBC),Vancouver,4.5
Environmental Sciences,Vancouver,4
Forest Management,Vancouver,4
Forest Operations,Vancouver,4
Forest Sciences,Vancouver,4
Freshwater Science,Okanagan,4
General Science,Okanagan,4
General Studies,Okanagan,4
Geographical Sciences,Vancouver,4
Geography,Okanagan,4
Geography: Environment and Sustainability,Vancouver,4
Geography: Human Geography,Vancouver,4
Geology,Vancouver,4
Geophysics,Vancouver,4
Global Resource Systems,Vancouver,4
Indigenous Land Stewardship,Vancouver,4.0
Integrated Sciences,Vancouver,4
Interdisciplinary Studies,Vancouver,4
Oceanography,Vancouver,4
Sustainability,Okanagan,4
Sustainable Agriculture and Environment,Vancouver,4
Urban Forestry,Vancouver,4
Urban Studies,Vancouver,4
Wood Products,Vancouver,4
Bachelor + Master of Management Dual Degree,Okanagan,4.5
Bachelor + Master of Management Dual Degree,Vancouver,4.5
Bioeconomy Sciences and Technology,Vancouver,4
Business and Computer Science,Vancouver,4
Business and Markets,Vancouver,4
Combined Majors in Statistics,Vancouver,4
Commerce,Vancouver,4
Data Analytics,Vancouver,4
Economics,Vancouver,4
Economics (BA),Okanagan,4
Economics (BSc),Okanagan,4
Forest Operations,Vancouver,4
General Studies,Okanagan,4
Interdisciplinary Studies,Vancouver,4
International Economics,Vancouver,4
Management,Okanagan,4
Manufacturing Engineering,Okanagan,4
Manufacturing Engineering,Vancouver,4
Mathematics and Economics,Vancouver,4
"Philosophy, Politics, and Economics",Okanagan,4
Wood Products,Vancouver,4
