Program Name,Campus,"Duration (years), Description"
Bachelor + Master of Management Dual Degree,Okanagan,4.5,"Join an accelerated program in which you'll earn both a UBC Bachelor and a Master of Management degree in as little as 4.5 years. Learn how to contribute to the future development of organizations, sectors, communities, and regions facing questions regarding climate justice, reconciliation, and social and economic inequality."
Bachelor + Master of Management Dual Degree,Vancouver,4.5,"Pursue an undergraduate subject you’re passionate about and get a postgraduate qualification from one of the world’s most prestigious business schools. You’ll study subjects like accounting, finance, marketing, and strategic management, and get personalized professional development advice to help you turn your passion into a profession."
Bioeconomy Sciences and Technology,Vancouver,4,"Canada is well-positioned to seize opportunities in the emerging bioeconomy because of its global leadership in forestry and agriculture, access to biomass, and skilled workforce. The Bioeconomy Sciences and Technology is the country's first comprehensive program focused on the growing bioeconomy."
Business and Computer Science,Vancouver,4,"The Business and Computer Science combined major will give you the technical background and understanding to apply IT solutions in a business context, and use them to develop opportunities for growth. In each year of study, you'll take a combination of core commerce and computer science courses."
Business and Markets,Vancouver,4,"Business and Markets will provide training in applied economics to help you understand how market structures, business practices, and international trade impact food supply and security worldwide. The program also addresses interactions between the food sector and major environmental challenges such as climate change and biodiversity."
Combined Majors in Statistics,Vancouver,4,"These combined major programs emphasize the role of statistics within the general framework of problem solving, and help you develop an understanding of the concepts of observation, hypothesis, evidence, and validation. You can complement your studies with a combined major in Economics, Computer Science, or Mathematics."
Commerce,Vancouver,4,Study within Canada’s leading management research school and build your expertise in myriad areas of business. The dynamic and challenging curriculum allows you to choose from ten specializations to focus your degree on the topics you're most passionate about.
Data Analytics,Vancouver,4,"In a time of exceptional computing power and data availability, an economics degree supplemented with data analytics skills is highly valued in the job market. Data Analytics will provide a strong core in applied economics and data analysis, a combination that is fundamental for parsing global influences on food markets and natural resource conservation. Learn how to interpret ever-growing sources of data gleaned from satellites, citizen science, etc., and use it to provide economic insight and advanced analytics for decision-making."
Economics,Vancouver,4,"Gain a deep understanding of the economy and examine the social, cross-cultural, and ethical dimensions of economic decision-making. You’ll learn how to choose and apply appropriate quantitative methods to a range of economic issues, and effectively communicate complex economic issues. Your studies will include courses such as “Introduction to Game Theory and Applications” and “Economics of Renewable Resources.”"
Economics (BA),Okanagan,4,"Economics will change the way you look at the world, increase your understanding of fundamental human behaviour, and improve your reasoning, problem solving, and decision-making abilities. You’ll take courses like “Poverty and Inequality,” “Economics of Technological Change,” and “Economics of Public Choice.”"
